     lambda = 1.513187 (   1.513185 )  <log w>=  198.878 K  N(Ef)= 12.027346 at degauss= 0.002
     lambda = 1.514481 (   1.514479 )  <log w>=  197.384 K  N(Ef)= 12.243246 at degauss= 0.004
     lambda = 1.511244 (   1.511242 )  <log w>=  197.708 K  N(Ef)= 12.283351 at degauss= 0.006
     lambda = 1.507694 (   1.507692 )  <log w>=  197.738 K  N(Ef)= 12.280780 at degauss= 0.008
     lambda = 1.504900 (   1.504897 )  <log w>=  197.527 K  N(Ef)= 12.267004 at degauss= 0.010
     lambda = 1.501478 (   1.501476 )  <log w>=  197.183 K  N(Ef)= 12.241247 at degauss= 0.012
     lambda = 1.495348 (   1.495346 )  <log w>=  196.794 K  N(Ef)= 12.193235 at degauss= 0.014
     lambda = 1.485194 (   1.485192 )  <log w>=  196.429 K  N(Ef)= 12.116834 at degauss= 0.016
     lambda = 1.470894 (   1.470891 )  <log w>=  196.141 K  N(Ef)= 12.012127 at degauss= 0.018
     lambda = 1.453063 (   1.453060 )  <log w>=  195.946 K  N(Ef)= 11.883538 at degauss= 0.020
     lambda = 1.432631 (   1.432629 )  <log w>=  195.841 K  N(Ef)= 11.737287 at degauss= 0.022
     lambda = 1.410444 (   1.410442 )  <log w>=  195.808 K  N(Ef)= 11.579597 at degauss= 0.024
     lambda = 1.387404 (   1.387402 )  <log w>=  195.837 K  N(Ef)= 11.415821 at degauss= 0.026
     lambda = 1.364078 (   1.364076 )  <log w>=  195.905 K  N(Ef)= 11.250203 at degauss= 0.028
     lambda = 1.340978 (   1.340976 )  <log w>=  196.004 K  N(Ef)= 11.085946 at degauss= 0.030
     lambda = 1.318411 (   1.318409 )  <log w>=  196.120 K  N(Ef)= 10.925375 at degauss= 0.032
     lambda = 1.296687 (   1.296685 )  <log w>=  196.253 K  N(Ef)= 10.770112 at degauss= 0.034
     lambda = 1.275934 (   1.275932 )  <log w>=  196.392 K  N(Ef)= 10.621225 at degauss= 0.036
     lambda = 1.256306 (   1.256304 )  <log w>=  196.539 K  N(Ef)= 10.479362 at degauss= 0.038
     lambda = 1.237769 (   1.237767 )  <log w>=  196.686 K  N(Ef)= 10.344857 at degauss= 0.040
     lambda = 1.220418 (   1.220416 )  <log w>=  196.839 K  N(Ef)= 10.217825 at degauss= 0.042
     lambda = 1.204256 (   1.204255 )  <log w>=  196.990 K  N(Ef)= 10.098238 at degauss= 0.044
     lambda = 1.189271 (   1.189270 )  <log w>=  197.144 K  N(Ef)=  9.985982 at degauss= 0.046
     lambda = 1.175387 (   1.175385 )  <log w>=  197.300 K  N(Ef)=  9.880901 at degauss= 0.048
     lambda = 1.162637 (   1.162635 )  <log w>=  197.457 K  N(Ef)=  9.782825 at degauss= 0.050
     lambda = 1.150963 (   1.150961 )  <log w>=  197.615 K  N(Ef)=  9.691582 at degauss= 0.052
     lambda = 1.140432 (   1.140430 )  <log w>=  197.777 K  N(Ef)=  9.607013 at degauss= 0.054
     lambda = 1.130888 (   1.130886 )  <log w>=  197.938 K  N(Ef)=  9.528965 at degauss= 0.056
     lambda = 1.122300 (   1.122298 )  <log w>=  198.100 K  N(Ef)=  9.457297 at degauss= 0.058
     lambda = 1.114776 (   1.114774 )  <log w>=  198.264 K  N(Ef)=  9.391868 at degauss= 0.060
lambda        omega_log          T_c
   1.51319       198.878             10.026
   1.51448       197.384              9.968
   1.51124       197.708              9.941
   1.50769       197.738              9.895
   1.50490       197.527              9.847
   1.50148       197.183              9.785
   1.49535       196.794              9.684
   1.48519       196.429              9.530
   1.47089       196.141              9.325
   1.45306       195.946              9.076
   1.43263       195.841              8.794
   1.41044       195.808              8.491
   1.38740       195.837              8.176
   1.36408       195.905              7.856
   1.34098       196.004              7.539
   1.31841       196.120              7.228
   1.29669       196.253              6.928
   1.27593       196.392              6.640
   1.25631       196.539              6.368
   1.23777       196.686              6.111
   1.22042       196.839              5.870
   1.20426       196.990              5.646
   1.18927       197.144              5.439
   1.17539       197.300              5.247
   1.16264       197.457              5.071
   1.15096       197.615              4.912
   1.14043       197.777              4.768
   1.13089       197.938              4.638
   1.12230       198.100              4.522
   1.11478       198.264              4.422
